Signup Tests Steps,Status
Verify that Continue 1 btn should be tapped successfully ,Pass
Verify that Continue 2 should be tapped successfully,Pass
Verify that sign_up_with_email button should be tapped successfully,Pass
Verify that user email should be entered successfully,Pass
Verify that user should be able to enter first name successfully,Pass
Verify that user should be able to enter last name successfully,Pass
Verify that user should be able to enter password successfully,Pass
Verify that user should be able to confirm password successfully,Pass
Verify that signup button should be tapped and account should be created successfully,Pass
Verify that Continue 1 btn should be tapped successfully ,Pass
Verify that onboarding_arrow_t should be tapped successfully,Fail
Verify that Continue 1 btn should be tapped successfully ,Pass
Verify that onboarding_arrow_t should be tapped successfully,Fail
Verify that Continue 1 btn should be tapped successfully ,Pass
Verify that Continue 2 should be tapped successfully,Pass
Verify that sign_up_with_email button should be tapped successfully,Pass
Verify that user email should be entered successfully,Pass
Verify that user should be able to enter first name successfully,Pass
Verify that user should be able to enter last name successfully,Pass
Verify that user should be able to enter password successfully,Pass
Verify that user should be able to confirm password successfully,Pass
Verify that signup button should be tapped and account should be created successfully,Pass
Verify that Continue 1 btn should be tapped successfully ,Pass
Verify that Continue 2 should be tapped successfully,Pass
Verify that sign_up_with_email button should be tapped successfully,Pass
Verify that user email should be entered successfully,Pass
Verify that user should be able to enter first name successfully,Pass
Verify that user should be able to enter last name successfully,Pass
Verify that user should be able to enter password successfully,Pass
Verify that user should be able to confirm password successfully,Pass
Verify that signup button should be tapped and account should be created successfully,Pass
Verify that Continue 1 btn should be tapped successfully ,Pass
Verify that Continue 2 should be tapped successfully,Pass
Verify that sign_up_with_email button should be tapped successfully,Pass
Verify that user email should be entered successfully,Pass
Verify that user should be able to enter first name successfully,Pass
Verify that user should be able to enter last name successfully,Pass
Verify that user should be able to enter password successfully,Pass
Verify that user should be able to confirm password successfully,Pass
Verify that signup button should be tapped and account should be created successfully,Pass
Verify that Continue 1 btn should be tapped successfully ,Pass
Verify that Continue 2 should be tapped successfully,Pass
Verify that sign_up_with_email button should be tapped successfully,Pass
Verify that user email should be entered successfully,Pass
Verify that user should be able to enter first name successfully,Pass
Verify that user should be able to enter last name successfully,Pass
Verify that user should be able to enter password successfully,Pass
Verify that user should be able to confirm password successfully,Pass
Verify that signup button should be tapped and account should be created successfully,Pass
Verify that Continue 1 btn should be tapped successfully ,Pass
Verify that Continue 2 should be tapped successfully,Pass
Verify that sign_up_with_email button should be tapped successfully,Pass
Verify that user email should be entered successfully,Pass
Verify that user should be able to enter first name successfully,Pass
Verify that user should be able to enter last name successfully,Pass
Verify that user should be able to enter password successfully,Pass
Verify that user should be able to confirm password successfully,Pass
Verify that signup button should be tapped and account should be created successfully,Pass
Verify that Continue 1 btn should be tapped successfully ,Pass
Verify that Continue 2 should be tapped successfully,Pass
Verify that sign_up_with_email button should be tapped successfully,Pass
Verify that user email should be entered successfully,Pass
Verify that user should be able to enter first name successfully,Pass
Verify that user should be able to enter last name successfully,Pass
Verify that user should be able to enter password successfully,Pass
Verify that user should be able to confirm password successfully,Pass
Verify that signup button should be tapped and account should be created successfully,Pass
Verify that Continue 1 btn should be tapped successfully ,Pass
Verify that Continue 2 should be tapped successfully,Pass
Verify that sign_up_with_email button should be tapped successfully,Pass
Verify that user email should be entered successfully,Pass
Verify that user should be able to enter first name successfully,Pass
Verify that user should be able to enter last name successfully,Pass
Verify that user should be able to enter password successfully,Pass
Verify that user should be able to confirm password successfully,Pass
Verify that signup button should be tapped and account should be created successfully,Pass
Verify that Continue 1 btn should be tapped successfully ,Pass
Verify that Continue 2 should be tapped successfully,Pass
Verify that sign_up_with_email button should be tapped successfully,Pass
Verify that user email should be entered successfully,Pass
Verify that user should be able to enter first name successfully,Pass
Verify that user should be able to enter last name successfully,Pass
Verify that user should be able to enter password successfully,Pass
Verify that user should be able to confirm password successfully,Pass
Verify that signup button should be tapped and account should be created successfully,Pass
Verify that Continue 1 btn should be tapped successfully ,Pass
Verify that Continue 2 should be tapped successfully,Pass
Verify that sign_up_with_email button should be tapped successfully,Pass
Verify that user email should be entered successfully,Pass
Verify that user should be able to enter first name successfully,Pass
Verify that user should be able to enter last name successfully,Pass
Verify that user should be able to enter password successfully,Pass
Verify that user should be able to confirm password successfully,Pass
Verify that signup button should be tapped and account should be created successfully,Pass
Verify that Continue 1 btn should be tapped successfully ,Pass
Verify that Continue 2 should be tapped successfully,Pass
Verify that sign_up_with_email button should be tapped successfully,Pass
Verify that user email should be entered successfully,Pass
Verify that user should be able to enter first name successfully,Pass
Verify that user should be able to enter last name successfully,Pass
Verify that user should be able to enter password successfully,Pass
Verify that user should be able to confirm password successfully,Pass
Verify that signup button should be tapped and account should be created successfully,Pass
Verify that Continue 1 btn should be tapped successfully ,Pass
Verify that Continue 2 should be tapped successfully,Pass
Verify that sign_up_with_email button should be tapped successfully,Pass
Verify that user email should be entered successfully,Fail
Verify that Continue 1 btn should be tapped successfully ,Pass
Verify that Continue 2 should be tapped successfully,Pass
Verify that sign_up_with_email button should be tapped successfully,Pass
Verify that user email should be entered successfully,Fail
Verify that Get Started button should be tapped successfully ,Fail
Verify that Get Started button should be tapped successfully ,Fail
Verify that Continue 1 btn should be tapped successfully ,Pass
Verify that Continue 2 should be tapped successfully,Pass
Verify that sign_up_with_email button should be tapped successfully,Pass
Verify that user email should be entered successfully,Fail
Verify that Continue 1 btn should be tapped successfully ,Pass
Verify that Continue 2 should be tapped successfully,Pass
Verify that sign_up_with_email button should be tapped successfully,Pass
Verify that user email should be entered successfully,Fail
Verify that Continue 1 btn should be tapped successfully ,Pass
Verify that Continue 2 should be tapped successfully,Pass
Verify that sign_up_with_email button should be tapped successfully,Pass
Verify that user email should be entered successfully,Fail
Verify that Get Started button should be tapped successfully ,Fail
Verify that Get Started button should be tapped successfully ,Fail
Verify that Get Started button should be tapped successfully ,Fail
Verify that Get Started button should be tapped successfully ,Fail
Verify that Get Started button should be tapped successfully ,Fail
Verify that Get Started button should be tapped successfully ,Fail
Verify that Get Started button should be tapped successfully ,Fail
Verify that Get Started button should be tapped successfully ,Fail
Verify that Continue 1 btn should be tapped successfully ,Pass
Verify that Continue 2 should be tapped successfully,Pass
Verify that sign_up_with_email button should be tapped successfully,Pass
Verify that user email should be entered successfully,Pass
Verify that user should be able to enter first name successfully,Pass
Verify that user should be able to enter last name successfully,Pass
Verify that user should be able to enter password successfully,Pass
Verify that user should be able to confirm password successfully,Pass
Verify that signup button should be tapped and account should be created successfully,Pass
Verify that Continue 1 btn should be tapped successfully ,Pass
Verify that Continue 2 should be tapped successfully,Pass
Verify that sign_up_with_email button should be tapped successfully,Pass
Verify that user email should be entered successfully,Fail
Verify that Continue 1 btn should be tapped successfully ,Pass
Verify that Continue 2 should be tapped successfully,Pass
Verify that sign_up_with_email button should be tapped successfully,Pass
Verify that user email should be entered successfully,Fail
Verify that Continue 1 btn should be tapped successfully ,Pass
Verify that Continue 1 btn should be tapped successfully ,Pass
Verify that Continue 2 should be tapped successfully,Pass
Verify that sign_up_with_email button should be tapped successfully,Pass
Verify that user email should be entered successfully,Pass
Verify that user should be able to enter first name successfully,Pass
Verify that user should be able to enter last name successfully,Pass
Verify that user should be able to enter password successfully,Pass
Verify that user should be able to confirm password successfully,Pass
Verify that signup button should be tapped and account should be created successfully,Pass
Verify that Continue 1 btn should be tapped successfully ,Pass
Verify that Continue 2 should be tapped successfully,Pass
Verify that sign_up_with_email button should be tapped successfully,Pass
Verify that user email should be entered successfully,Pass
Verify that user should be able to enter first name successfully,Pass
Verify that user should be able to enter last name successfully,Pass
Verify that user should be able to enter password successfully,Pass
Verify that user should be able to confirm password successfully,Pass
Verify that Continue 1 btn should be tapped successfully ,Pass
Verify that Continue 2 should be tapped successfully,Pass
Verify that sign_up_with_email button should be tapped successfully,Pass
Verify that user email should be entered successfully,Fail
Verify that Continue 1 btn should be tapped successfully ,Pass
Verify that Continue 2 should be tapped successfully,Pass
Verify that sign_up_with_email button should be tapped successfully,Pass
Verify that user email should be entered successfully,Pass
Verify that user should be able to enter first name successfully,Pass
Verify that user should be able to enter last name successfully,Pass
Verify that user should be able to enter password successfully,Pass
Verify that user should be able to confirm password successfully,Pass
Verify that signup button should be tapped and account should be created successfully,Pass
Verify that Continue 1 btn should be tapped successfully ,Pass
Verify that Continue 2 should be tapped successfully,Pass
Verify that sign_up_with_email button should be tapped successfully,Pass
Verify that user email should be entered successfully,Pass
Verify that user should be able to enter first name successfully,Pass
Verify that user should be able to enter last name successfully,Pass
Verify that user should be able to enter password successfully,Pass
Verify that user should be able to confirm password successfully,Pass
Verify that signup button should be tapped and account should be created successfully,Pass
Verify that Continue 1 btn should be tapped successfully ,Pass
