Tests Summary,Status
Verify that  allow_notif button should be tapped again,Fail
Verify that tooltip_1_nxt button should be tapped,Pass
Verify that allow_notif button should be tapped,Pass
Verify that  allow_notif button should be tapped again,Fail
Verify that trackActions button should be tapped ,Pass
Verify that trackActions button should be tapped ,Pass
Verify that trackActions button should be tapped ,Pass
Verify that trackActions button should be tapped ,Pass
Verify that trackActions button should be tapped ,Pass
Verify that trackActions button should be tapped ,Pass
Verify that trackActions button should be tapped ,Pass
Verify that trackActions button should be tapped ,Pass
Verify that trackActions button should be tapped ,Pass
Verify that  trackActions button should be tapped again,Fail
Verify that i_allow_app button should be tapped,Pass
Verify that i_allow_app button should be tapped,Pass
Verify that trackActions button should be tapped ,Pass
Verify that  allow_notif button should be tapped again,Fail
Verify that  allow_notif button should be tapped again,Fail
Verify that  allow_notif button should be tapped again,Fail
Verify that trackActions button should be tapped ,Pass
Verify that  allow_notif button should be tapped again,Fail
Verify that trackActions button should be tapped ,Pass
Verify that  allow_notif button should be tapped again,Fail
Verify that trackActions button should be tapped ,Pass
Verify that  allow_notif button should be tapped again,Fail
Verify that trackActions button should be tapped ,Pass
Verify that  allow_notif button should be tapped again,Fail
Verify that trackActions button should be tapped ,Pass
Verify that  allow_notif button should be tapped again,Fail
Verify that trackActions button should be tapped ,Pass
Verify that trackActions button should be tapped ,Pass
Verify that  allow_notif button should be tapped again,Fail
Verify that trackActions button should be tapped ,Pass
Verify that  allow_notif button should be tapped again,Fail
Verify that trackActions button should be tapped ,Pass
Verify that  allow_notif button should be tapped again,Fail
Verify that trackActions button should be tapped ,Pass
Verify that  allow_notif button should be tapped again,Fail
Verify that trackActions button should be tapped ,Pass
Verify that  allow_notif button should be tapped again,Fail
Verify that trackActions button should be tapped ,Pass
Verify that  allow_notif button should be tapped again,Fail
Verify that trackActions button should be tapped ,Pass
Verify that  allow_notif button should be tapped again,Fail
Verify that trackActions button should be tapped ,Pass
Verify that  allow_notif button should be tapped again,Fail
Verify that  trackActions button should be tapped again,Fail
Verify that  allow_notif button should be tapped again,Fail
Verify that  trackActions button should be tapped again,Fail
Verify that  allow_notif button should be tapped again,Fail
Verify that trackActions button should be tapped ,Pass
Verify that  allow_notif button should be tapped again,Fail
Verify that  trackActions button should be tapped again,Fail
Verify that  allow_notif button should be tapped again,Fail
Verify that  trackActions button should be tapped again,Fail
Verify that  trackActions button should be tapped again,Fail
Verify that  allow_notif button should be tapped again,Fail
Verify that  trackActions button should be tapped again,Fail
Verify that  allow_notif button should be tapped again,Fail
Verify that trackActions button should be tapped ,Pass
Verify that  allow_notif button should be tapped again,Fail
Verify that trackActions button should be tapped ,Pass
